iter	Logloss
0	0.5500681008
1	0.4466704222
2	0.3712934896
3	0.3154303739
4	0.2735311979
5	0.2436008054
6	0.2214722954
7	0.2043777827
8	0.1914151116
9	0.1818522879
10	0.1743560035
11	0.1688411375
12	0.1643295303
13	0.1607446828
14	0.1579100065
15	0.1557957171
16	0.1541359138
17	0.1526964504
18	0.1515867643
19	0.1506037412
20	0.1497980655
21	0.1491871638
22	0.1486400995
23	0.1481799195
24	0.1478136984
25	0.1475544964
26	0.1473164923
27	0.1471110356
28	0.1469418713
29	0.1467686161
30	0.1466299712
31	0.1465073182
32	0.1463941978
33	0.1462930287
34	0.1461994127
35	0.1461146066
36	0.146037959
37	0.1459662574
38	0.1459108194
39	0.1458615211
40	0.1458192662
41	0.1457714951
42	0.1457191062
43	0.1456591695
44	0.1456149554
45	0.145570618
46	0.1455233533
47	0.1454999851
48	0.1454728525
49	0.1454340406
50	0.145395559
51	0.1453663463
52	0.1453256106
53	0.1452994917
54	0.1452761714
55	0.1452539169
56	0.1452250493
57	0.1451960277
58	0.1451723991
59	0.1451446652
60	0.145120353
61	0.145093198
62	0.1450735398
63	0.1450508189
64	0.1450262174
65	0.1450072349
66	0.1449845029
67	0.1449676437
68	0.1449555636
69	0.1449370029
70	0.1449205478
71	0.1448986914
72	0.1448766969
73	0.1448629274
74	0.1448496931
75	0.1448246489
76	0.1448108375
77	0.1447951521
78	0.1447790244
79	0.144761018
80	0.1447430762
81	0.1447274535
82	0.1447102423
83	0.1446951065
84	0.1446824354
85	0.1446658743
86	0.1446584873
87	0.144639368
88	0.144624229
89	0.1446102344
90	0.1445927121
91	0.1445779218
92	0.144563377
93	0.1445493294
94	0.1445348493
95	0.1445256408
96	0.1445112007
97	0.1445029604
98	0.1444913858
99	0.1444736816
100	0.1444580432
101	0.1444428604
102	0.1444267434
103	0.1444116076
104	0.1444004218
105	0.1443835221
106	0.1443770843
107	0.1443703939
108	0.1443620503
109	0.1443435166
110	0.1443373647
111	0.1443256975
112	0.1443156041
113	0.1443008468
114	0.1442928009
115	0.1442852906
116	0.1442748391
117	0.1442612193
118	0.1442502404
119	0.1442377809
120	0.1442297731
121	0.1442195889
122	0.1442127372
123	0.1442000116
124	0.1441914207
125	0.144178883
126	0.1441648624
127	0.1441566825
128	0.144150917
129	0.1441402414
130	0.1441289639
131	0.1441204999
132	0.1441103232
133	0.1441028027
134	0.1440971312
135	0.1440874879
136	0.1440795889
